OTU	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
otu_1	0	0	0	0	0	0.036501084	0.010273567	0	0	0.14072034	0	0.007745183	0	0.027157623	0	0	0.059698638	0	0.003826876	0
otu_2	0	0.020438641	0.014200064	0.011259907	0	0	0	0	0	0	0	0	0.11971314	0.056891877	0	0	0	0.010171195	0.103210054	0.122714415
otu_3	0.014977529	0.020459209	0.08670358	0.04673548	0.017255498	0.006021299	0	0.004778234	0.07525574	0	0.032086827	0	0.23544781	0.06255379	0.018923707	0	0	0.01365596	0.047210343	0.0862225
otu_4	0	0.09988804	0	0	0.13595968	0.1160024	0.010595356	0	0	0.11955174	0	0.009018463	0	0.053057935	0.043454137	0.019034633	0.008493323	0.017991275	0.018283196	0.00720447
otu_5	0.006892674	0.08144286	0	0	0.009134922	0.077784315	0.060772825	0.048646934	0	0.09403253	0	0.016923822	0.032261062	0.2248784	0.015038398	0	0.010775561	0.059034023	0.30451864	0.24794255
otu_6	0.012364098	0	0.017770663	0.00818041	0.027899902	0	0	0.0223425	0.02354152	0	0.005637092	0	0.021412216	0	0.02419106	0	0	0	0.007128958	0.012665421
otu_7	0	0	0.022181287	0.03360493	0.005754767	0	0	0	0	0	0.012022455	0.006538698	0.04963896	0.006673962	0.07693434	0	0	0.05478902	0	0
otu_8	0	0	0.014079228	0	0.01289306	0	0	0.040297695	0	0	0	0	0	0	0	0	0	0	0	0
otu_9	0	0.00720644	0.11173426	0	0.006863981	0	0	0	0.036735065	0	0	0	0.02107749	0	0	0	0	0	0	0
otu_10	0	0	0	0	0	0.009714399	0.014649658	0.009660369	0	0.01757763	0	0.008253158	0	0.014888454	0	0.003813312	0.18376826	0.019163193	0.015063477	0.006010408
otu_11	0	0	0	0	0	0	0	0	0	0	0	0	0.02502037	0.0341216	0	0	0	0	0.05127277	0.03294022
otu_12	0	0.008205775	0.022101581	0	0.030567622	0	0.014745713	0.11550537	0	0	0	0.010832581	0.01254872	0.015684886	0.009545859	0	0.022573613	0.022337439	0.020098178	0.022313958
otu_13	0	0	0	0	0	0	0	0.24672186	0	0	0	0	0	0	0	0	0	0	0	0
otu_14	0.03816987	0	1.1380424	0.15851414	0	0.05750994	0	0	3.037251	0.015216095	0.15017183	0	0	0	0.040600218	0	0	0	0	0
otu_15	0	0.019370906	0	0	0	0.014634218	0	0	0	0.016487433	0	0	0	0.07169973	0	0	0	0	0.036546145	0.020246178
otu_16	0	0	0.11338386	0.007757513	0.020246787	0	0	0.011259506	0	0	0.006014068	0	0.007325899	0	0.007845113	0	0	0.003449425	0	0
otu_17	0.007462821	0.024763038	0.013021534	0	0.029690217	0.009921536	0	0.012670509	0.005788013	0.009896074	0	0	0	0.006414504	0.013642011	0	0	0.008132922	0.005422267	0
otu_18	0	0	0.028734213	0	0.02980665	0	0	0.09304063	0	0	0	0	0	0	0	0	0.0051923	0	0	0
otu_19	0	0	0	0.025372194	0	0	0	0	0	0	0.01279567	0	1.096054	0.010952719	0	0	0	0	0.006840493	0
otu_20	0	0.019240368	0	0.006333886	0.013029205	0.018420892	0.045052413	0.09292811	0.007083979	0.02234551	0	0.014987058	0.031223726	0.03906979	0.010659084	0	0.016515058	0.063050434	0.055824235	0.057466835
otu_21	0	0	0	0	0	0	0	0	0	0	0	0	0.03697813	0.012621622	0	0	0	0	0	0
otu_22	0.011029152	0.037934653	0.01814533	0.016599655	0.025861043	0.018188069	0.02328836	0.026810145	0.013411774	0.019035423	0.012896694	0.00907309	0.13001643	0.06290166	0.019843454	0	0.008321274	0.036250874	0.07618777	0.085978635
otu_23	0	0.01590259	0	0	0.008075172	0.02272265	0.05437049	0	0	0.047989357	0	0.04176616	0	0.029606055	0	0.005876881	0.04811847	0.05993838	0	0
otu_24	0	0	0	0	0	0	0	0	0	0	0	0	0.0781408	0.03934136	0	0	0	0	0.04173186	0.06967451
otu_25	0	0	0.037905257	0.010830039	0	0	0	0.009047297	0.012916246	0	0.00969418	0	0	0	0	0	0	0	0	0
otu_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024930641	0	0	0	0	0.015136574	0.013899712
otu_27	0	0	0	0	0	0	0	0.00302457	0	0	0	0	0.0975201	0.017948987	0	0	0	0	0	0
otu_28	0	0.016162895	0	0	0.013934298	0.02737133	0.054707304	0	0	0.045854867	0	0.04622619	0	0.03128319	0	0.009450041	0.04628165	0.06534815	0.006658907	0
otu_29	0	0	0.29676354	0.08932412	0	0	0	0.002872753	0.018162325	0	0.07542521	0	0.033287093	0	0.024887988	0	0	0	0	0
otu_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03166356	0	0	0	0	0	0
otu_31	0	0.038341846	0.009472129	0.006247904	0.047852788	0.012878321	0.05318897	0.042982828	0	0.011872586	0.004605867	0.01640335	0.028515458	0.050329957	0.040727492	0	0.013265685	0.086513154	0.11837853	0.15788071
otu_32	0	0	0	0	0	0	0.013575331	0	0	0	0	0	0.0321853	0.3106417	0	0	0	0.04334259	0.09851536	0.07026594
otu_33	0	0	0	0	0	0	0	0.007872277	0	0	0	0	0	0	0	0	0	0	0.015314376	0.012691088
otu_34	0.00407184	0	0	0	0.024379414	0	0	0.007235302	0	0	0	0	0	0	0	0	0	0	0	0
otu_35	0	0	0.005110102	0	0	0	0.005386178	0.059401043	0	0	0	0	0.018917128	0	0	0	0	0.012423025	0.006999584	0.03987981
otu_36	0	0	0.006773435	0	0.015588017	0.012826768	0	0.007114592	0	0.009852597	0	0.008257363	0	0	0.012469884	0.021241685	0	0	0	0
otu_37	0	0	0	0	0	0	0	0.025004795	0	0	0	0.009985778	0	0	0	0	0.005703216	0	0	0
otu_38	0	0	0.015024187	0	0.011816263	0	0	0.14769924	0	0	0	0	0	0	0	0	0.00500448	0	0	0
otu_39	0.01573477	0.075425126	0.053316012	0.016504265	0.03476083	0.033921693	0.17628795	0.13639888	0.038645007	0.022426227	0.011839015	0	0.07977926	0	0.12099693	0	0	0	0	0
otu_40	0	0	0.007736786	0	0.008138454	0	0.015093622	0.18110521	0	0	0	0.009680614	0	0.010311821	0	0	0.006812379	0.011894146	0	0
otu_41	0	0	0	0	0	0	0.002501742	0.002420398	0	0	0	0	0.020920943	0.026638055	0	0	0	0	0.03838764	0.046370376
otu_42	0.007455026	0.011523668	0.035432737	0	0.022362337	0.003858856	0	0.003161384	0.031909205	0	0.005427044	0	0.01098798	0.007230553	0.02860984	0	0	0.009244621	0.004960144	0.008129075
otu_43	0	0	0.093798816	0.06195053	0	0	0	0.003649338	0.00753523	0	0.045776937	0	0.056856893	0	0.013309759	0	0	0	0	0
otu_44	0	0.5099963	0.010137874	0.025386186	0.079995096	0.01678367	0	0.002389658	0	0	0.011934129	0	0.020073725	0	0.13791426	0	0	0.014883589	0	0
otu_45	0.2912438	0.020493196	0	0	0	0	0.01735884	0.008265823	0	0	0	0	0.016252458	0.031832688	0	0	0	0	0.010183539	0.010739798
otu_46	0	0.025726497	0	0	0	0.2061331	0	0	0	0.4278657	0	0	0	0.032871947	0	0	0	0	0	0
otu_47	0	0	0.013281921	0	0	0	0	0.07904512	0	0	0	0	0	0	0	0	0	0	0	0
otu_48	0	0	0	0	0	0	0.009370208	0.002276015	0	0	0	0	0.16813885	0.10116645	0	0	0	0.010868524	0.10281986	0.0989776
otu_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu_50	0	0	0.033058304	0	0.007375911	0	0	0.08189515	0	0	0.005986951	0	0.008929229	0	0	0	0	0	0	0
otu_51	0	0	0	0	0.013547611	0	0	0.007612911	0	0	0	0	0	0	0	0	0	0	0	0
otu_52	0	0	0	0	0	0	0	0.005866978	0	0	0	0	0	0	0	0	0	0	0	0
otu_53	0	0	0.007994219	0	0.03072335	0	0	0.955861	0	0	0	0	0	0	0	0	0.007372762	0	0	0
otu_54	0	0	0.01040237	0	0.022937514	0	0.029552275	0.11488305	0	0	0	0.009666139	0	0	0.012151536	0	0.013456859	0.04025323	0.02086622	0.027684659
otu_55	0	0.013013204	0	0	0	0	0	0	0	0	0	0	0.5933118	0.008821593	0	0	0	0	0	0
otu_56	0	0	0	0	0.00927691	0.006702525	0.031881	0	0	0.010031854	0	0.005270034	0	0.007322615	0	0	0.042568006	0.011458889	0	0
otu_57	0	0.01169626	0.007841626	0	0	0	0	0	0	0	0	0	0.0631449	0.028099159	0	0	0	0	0.012793876	0.016663905
otu_58	0	0.03891149	0	0	0	0.004241883	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu_59	0	0	0	0	0.012122203	0	0	0.018695489	0	0	0	0.002348687	0	0	0	0	0.008426126	0.005798773	0	0
otu_60	0	0	0	0.028593183	0.015998768	0.017877838	0	0	0	0.012514075	0.05268271	0	0	0	0	0.059269216	0	0	0	0
otu_61	0	0	0	0	0.01832739	0	0	0.018061303	0	0	0	0	0	0	0	0	0	0	0	0
