Taxon A	Taxon B	FlashWeave	FlashWeaveHE	SpiecEasi	FastSpar	PropR	Spearman	Pearson	Jaccard	Num supporting methods	Prevalence A (%)	Prevalence B (%)	Mean Abundance A	Mean Abundance B	Max Abundance A	Max Abundance B	Abundance B at Max A	Abundance A at Max B	Sample at Max A	Sample at Max B	Inter phylum	Taxonomy A	Taxonomy B	Community A	Community B	Inter community
otu_383	otu_661	0.9999243781513324		0.68907805621386		0.999943747181949	1.0	0.9999999417067869	1.0	6	10.0	10.0	0.00779828645	0.0069907515000000005	0.1475111	0.13219327	0.13219327	0.1475111	Sample8	Sample8	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__;g__;s__	14	14	False
otu_608	otu_91	0.9998287558555604		0.6692990424674		0.999906179905028	1.0	0.999947181527454	1.0	6	10.0	10.0	0.01404629895	0.01166042345	0.27131152	0.22301611	0.22301611	0.27131152	Sample8	Sample8	True	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__9FT-COMBO-48-23;s__	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__JAOAJC01;s__	7	7	False
otu_115	otu_306	0.9994468092918396		0.520610546017942		0.998337621710377	0.945945945945946	0.91266562265102	1.0	6	70.0	70.0	0.035427850500000004	0.028339840900000003	0.11259478	0.10309661	0.061403163	0.09782185	Sample8	Sample7	True	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__JACIVX01;g__JAJRAG01;s__	d__Bacteria;p__Arandabacterota;c__Arandabacteria;o__Arandabacterales;f__Arandabacteraceae;g__DATKKY01;s__	13	13	False
otu_121	otu_719	0.9993264079093932		0.795608044595973		0.999176336323809	0.986100386100386	0.9722356704719178	1.0	6	70.0	70.0	0.03150871255	0.0402859723	0.15923457	0.24677987	0.24677987	0.15923457	Sample12	Sample12	True	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAFNFQ01;g__JAFNFQ01;s__JAFNFQ01 sp017885655	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	11	11	False
otu_718	otu_883	0.9991350769996644		0.778968423213381		0.999348071748638	0.9924242424242424	0.9869774766774024	1.0	6	80.0	80.0	0.0283953589	0.0272353678	0.13369161	0.12045777	0.10946861	0.11094579	Sample20	Sample14	True	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__;s__	1	1	False
otu_317	otu_382	0.999132752418518		0.857808318279427		0.998528071711642	0.9729323308270676	0.996058343363348	1.0	6	95.0	95.0	0.07041472010000001	0.05917960815000001	0.20526846	0.16669367	0.16669367	0.20526846	Sample3	Sample3	True	d__Bacteria;p__Atribacterota;c__JS1;o__SB-45;f__34-128;g__CG2-30-33-13;s__CG2-30-33-13 sp041490145	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	10	10	False
otu_742	otu_850	0.9990981221199036		0.348221867780051		0.99706043930211	1.0	0.9846650819353926	1.0	6	10.0	10.0	0.0071519048	0.0149864055	0.10795405	0.19657786	0.19657786	0.10795405	Sample19	Sample19	True	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__DATKLL01;s__	d__Bacteria;p__Patescibacteriota;c__Kazan-3B-28;o__Kazan-3B-28;f__Kazan-3B-28;g__;s__	5	5	False
otu_512	otu_773	0.9990360140800476		0.754347920377099		0.999318605569014	0.990950226244344	0.9928584601646584	1.0	6	85.0	85.0	0.031483910950000006	0.027379430399999998	0.124978594	0.104373544	0.10070182	0.11142451	Sample8	Sample18	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__UBA877 sp041480185	d__Bacteria;p__Desulfobacterota_E;c__Deferrimicrobia;o__Deferrimicrobiales;f__Deferrimicrobiaceae;g__Deferrimicrobium;s__	11	2	True
otu_12	otu_863	0.9986088871955872		0.80219421091274		0.999539392655683	0.9905808477237048	0.9973297746325884	1.0	6	65.0	65.0	0.016353064750000004	0.014447456749999999	0.11550537	0.108845286	0.108845286	0.11550537	Sample8	Sample8	True	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__GBS-2;g__;s__	11	11	False
otu_670	otu_90	0.9985985159873962		0.576725677759283		0.998769487243855	0.9980842911877394	0.9538297890218996	1.0	6	40.0	40.0	0.019102793200000003	0.023894190599999997	0.10379391	0.102778	0.102778	0.10379391	Sample9	Sample9	True	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__;s__	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__JAOAJC01;s__	0	0	False
