#OTU ID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
otu_1	0.0	0.0	0.0	0.0	0.0	0.036501084	0.010273567	0.0	0.0	0.14072034	0.0	0.007745183	0.0	0.027157623	0.0	0.0	0.059698638	0.0	0.003826876	0.0
otu_2	0.0	0.020438641	0.014200064	0.011259907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11971314	0.056891877	0.0	0.0	0.0	0.010171195	0.103210054	0.122714415
otu_3	0.014977529	0.020459209	0.08670358	0.04673548	0.017255498	0.006021299	0.0	0.004778234	0.07525574	0.0	0.032086827	0.0	0.23544781	0.06255379	0.018923707	0.0	0.0	0.01365596	0.047210343	0.0862225
otu_4	0.0	0.09988804	0.0	0.0	0.13595968	0.1160024	0.010595356	0.0	0.0	0.11955174	0.0	0.009018463	0.0	0.053057935	0.043454137	0.019034633	0.008493323	0.017991275	0.018283196	0.00720447
otu_5	0.006892674	0.08144286	0.0	0.0	0.009134922	0.077784315	0.060772825	0.048646934	0.0	0.09403253	0.0	0.016923822	0.032261062	0.2248784	0.015038398	0.0	0.010775561	0.059034023	0.30451864	0.24794255
otu_9	0.0	0.00720644	0.11173426	0.0	0.006863981	0.0	0.0	0.0	0.036735065	0.0	0.0	0.0	0.02107749	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otu_10	0.0	0.0	0.0	0.0	0.0	0.009714399	0.014649658	0.009660369	0.0	0.01757763	0.0	0.008253158	0.0	0.014888454	0.0	0.003813312	0.18376826	0.019163193	0.015063477	0.006010408
otu_12	0.0	0.008205775	0.022101581	0.0	0.030567622	0.0	0.014745713	0.11550537	0.0	0.0	0.0	0.010832581	0.01254872	0.015684886	0.009545859	0.0	0.022573613	0.022337439	0.020098178	0.022313958
otu_14	0.03816987	0.0	1.1380424	0.15851414	0.0	0.05750994	0.0	0.0	3.037251	0.015216095	0.15017183	0.0	0.0	0.0	0.040600218	0.0	0.0	0.0	0.0	0.0
otu_16	0.0	0.0	0.11338386	0.007757513	0.020246787	0.0	0.0	0.011259506	0.0	0.0	0.006014068	0.0	0.007325899	0.0	0.007845113	0.0	0.0	0.003449425	0.0	0.0
otu_19	0.0	0.0	0.0	0.025372194	0.0	0.0	0.0	0.0	0.0	0.0	0.01279567	0.0	1.096054	0.010952719	0.0	0.0	0.0	0.0	0.006840493	0.0
otu_22	0.011029152	0.037934653	0.01814533	0.016599655	0.025861043	0.018188069	0.02328836	0.026810145	0.013411774	0.019035423	0.012896694	0.00907309	0.13001643	0.06290166	0.019843454	0.0	0.008321274	0.036250874	0.07618777	0.085978635
otu_29	0.0	0.0	0.29676354	0.08932412	0.0	0.0	0.0	0.002872753	0.018162325	0.0	0.07542521	0.0	0.033287093	0.0	0.024887988	0.0	0.0	0.0	0.0	0.0
otu_31	0.0	0.038341846	0.009472129	0.006247904	0.047852788	0.012878321	0.05318897	0.042982828	0.0	0.011872586	0.004605867	0.01640335	0.028515458	0.050329957	0.040727492	0.0	0.013265685	0.086513154	0.11837853	0.15788071
otu_32	0.0	0.0	0.0	0.0	0.0	0.0	0.013575331	0.0	0.0	0.0	0.0	0.0	0.0321853	0.3106417	0.0	0.0	0.0	0.04334259	0.09851536	0.07026594
otu_38	0.0	0.0	0.015024187	0.0	0.011816263	0.0	0.0	0.14769924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00500448	0.0	0.0	0.0
otu_39	0.01573477	0.075425126	0.053316012	0.016504265	0.03476083	0.033921693	0.17628795	0.13639888	0.038645007	0.022426227	0.011839015	0.0	0.07977926	0.0	0.12099693	0.0	0.0	0.0	0.0	0.0
otu_40	0.0	0.0	0.007736786	0.0	0.008138454	0.0	0.015093622	0.18110521	0.0	0.0	0.0	0.009680614	0.0	0.010311821	0.0	0.0	0.006812379	0.011894146	0.0	0.0
otu_44	0.0	0.5099963	0.010137874	0.025386186	0.079995096	0.01678367	0.0	0.002389658	0.0	0.0	0.011934129	0.0	0.020073725	0.0	0.13791426	0.0	0.0	0.014883589	0.0	0.0
otu_45	0.2912438	0.020493196	0.0	0.0	0.0	0.0	0.01735884	0.008265823	0.0	0.0	0.0	0.0	0.016252458	0.031832688	0.0	0.0	0.0	0.0	0.010183539	0.010739798
otu_46	0.0	0.025726497	0.0	0.0	0.0	0.2061331	0.0	0.0	0.0	0.4278657	0.0	0.0	0.0	0.032871947	0.0	0.0	0.0	0.0	0.0	0.0
otu_48	0.0	0.0	0.0	0.0	0.0	0.0	0.009370208	0.002276015	0.0	0.0	0.0	0.0	0.16813885	0.10116645	0.0	0.0	0.0	0.010868524	0.10281986	0.0989776
otu_53	0.0	0.0	0.007994219	0.0	0.03072335	0.0	0.0	0.955861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007372762	0.0	0.0	0.0
