source	target	similarity
otu_108	otu_138	1.0
otu_814	otu_818	1.0
otu_346	otu_643	1.0
otu_344	otu_862	1.0
otu_48	otu_280	1.0
otu_209	otu_224	1.0
otu_344	otu_848	1.0
otu_4	otu_655	1.0
otu_3	otu_734	1.0
otu_727	otu_801	1.0
otu_670	otu_744	1.0
otu_701	otu_742	1.0
otu_730	otu_761	1.0
otu_730	otu_808	1.0
otu_731	otu_762	1.0
otu_356	otu_711	1.0
otu_356	otu_382	1.0
otu_382	otu_653	1.0
otu_356	otu_754	1.0
otu_356	otu_653	1.0
otu_383	otu_661	1.0
otu_382	otu_754	1.0
otu_382	otu_711	1.0
otu_352	otu_621	1.0
otu_39	otu_587	1.0
otu_66	otu_808	1.0
otu_337	otu_430	1.0
otu_319	otu_735	1.0
otu_66	otu_730	1.0
otu_66	otu_761	1.0
otu_337	otu_881	1.0
otu_204	otu_673	1.0
otu_406	otu_415	1.0
otu_322	otu_814	1.0
otu_322	otu_818	1.0
otu_31	otu_801	1.0
otu_409	otu_577	1.0
otu_386	otu_813	1.0
otu_138	otu_317	1.0
otu_711	otu_754	1.0
otu_108	otu_317	1.0
otu_138	otu_711	1.0
otu_701	otu_850	1.0
otu_718	otu_883	1.0
otu_138	otu_382	1.0
otu_138	otu_754	1.0
otu_138	otu_356	1.0
otu_32	otu_830	1.0
otu_38	otu_53	1.0
otu_67	otu_444	1.0
otu_317	otu_754	1.0
otu_430	otu_881	1.0
otu_317	otu_653	1.0
otu_317	otu_711	1.0
otu_432	otu_497	1.0
otu_432	otu_885	1.0
otu_90	otu_744	1.0
otu_90	otu_237	1.0
otu_201	otu_245	1.0
otu_201	otu_270	1.0
otu_193	otu_397	1.0
otu_31	otu_727	1.0
otu_482	otu_759	1.0
otu_91	otu_131	1.0
otu_91	otu_608	1.0
otu_90	otu_670	1.0
otu_417	otu_588	1.0
otu_489	otu_508	1.0
otu_245	otu_270	1.0
otu_256	otu_864	1.0
otu_138	otu_653	1.0
otu_145	otu_190	1.0
otu_145	otu_204	1.0
otu_653	otu_711	1.0
otu_660	otu_797	1.0
otu_12	otu_493	1.0
otu_653	otu_754	1.0
otu_68	otu_329	1.0
otu_209	otu_640	1.0
otu_234	otu_813	1.0
otu_209	otu_763	1.0
otu_224	otu_640	1.0
otu_224	otu_763	1.0
otu_190	otu_204	1.0
otu_500	otu_622	1.0
otu_493	otu_863	1.0
otu_234	otu_386	1.0
otu_29	otu_531	1.0
otu_22	otu_754	1.0
otu_190	otu_673	1.0
otu_183	otu_860	1.0
otu_510	otu_519	1.0
otu_22	otu_711	1.0
otu_22	otu_317	1.0
otu_22	otu_382	1.0
otu_497	otu_885	1.0
otu_22	otu_356	1.0
otu_317	otu_356	1.0
otu_80	otu_489	1.0
otu_80	otu_508	1.0
otu_80	otu_116	1.0
otu_312	otu_635	1.0
otu_306	otu_643	1.0
otu_317	otu_382	1.0
otu_175	otu_245	1.0
otu_175	otu_270	1.0
otu_512	otu_773	1.0
otu_22	otu_653	1.0
otu_519	otu_691	1.0
otu_536	otu_573	1.0
otu_520	otu_875	1.0
otu_640	otu_763	1.0
otu_157	otu_850	1.0
otu_154	otu_346	1.0
otu_160	otu_881	1.0
otu_237	otu_744	1.0
otu_543	otu_629	1.0
otu_145	otu_673	1.0
otu_306	otu_346	1.0
otu_72	otu_432	1.0
otu_72	otu_497	1.0
otu_72	otu_885	1.0
otu_237	otu_670	1.0
otu_510	otu_691	1.0
otu_22	otu_108	1.0
otu_22	otu_138	1.0
otu_12	otu_863	1.0
otu_545	otu_898	1.0
otu_157	otu_701	1.0
otu_157	otu_742	1.0
otu_574	otu_802	1.0
otu_160	otu_337	1.0
otu_175	otu_201	1.0
otu_154	otu_643	1.0
otu_154	otu_306	1.0
otu_160	otu_430	1.0
otu_108	otu_356	1.0
otu_748	otu_782	1.0
otu_742	otu_850	1.0
otu_761	otu_808	1.0
otu_116	otu_508	1.0
otu_108	otu_653	1.0
otu_108	otu_711	1.0
otu_115	otu_346	1.0
otu_115	otu_643	1.0
otu_125	otu_270	1.0
otu_108	otu_382	1.0
otu_116	otu_489	1.0
otu_74	otu_300	1.0
otu_115	otu_306	1.0
otu_115	otu_154	1.0
otu_108	otu_754	1.0
otu_119	otu_818	1.0
otu_131	otu_608	1.0
otu_125	otu_175	1.0
otu_125	otu_201	1.0
otu_125	otu_245	1.0
otu_1	otu_161	1.0
otu_848	otu_862	1.0
otu_121	otu_719	1.0
otu_119	otu_322	1.0
otu_119	otu_814	1.0
otu_108	otu_329	0.9473684210526316
otu_138	otu_190	0.9473684210526316
otu_138	otu_204	0.9473684210526316
otu_73	otu_358	0.9473684210526316
otu_138	otu_145	0.9473684210526316
otu_356	otu_507	0.9473684210526316
otu_673	otu_754	0.9473684210526316
otu_145	otu_711	0.9473684210526316
otu_145	otu_575	0.9473684210526316
otu_507	otu_754	0.9473684210526316
otu_507	otu_711	0.9473684210526316
otu_22	otu_145	0.9473684210526316
otu_507	otu_653	0.9473684210526316
otu_22	otu_190	0.9473684210526316
otu_575	otu_673	0.9473684210526316
otu_145	otu_356	0.9473684210526316
otu_145	otu_382	0.9473684210526316
otu_145	otu_754	0.9473684210526316
otu_22	otu_204	0.9473684210526316
otu_145	otu_653	0.9473684210526316
otu_356	otu_358	0.9473684210526316
otu_317	otu_358	0.9473684210526316
otu_22	otu_358	0.9473684210526316
otu_204	otu_754	0.9473684210526316
otu_190	otu_356	0.9473684210526316
otu_22	otu_793	0.9473684210526316
otu_190	otu_382	0.9473684210526316
otu_68	otu_653	0.9473684210526316
otu_190	otu_317	0.9473684210526316
otu_22	otu_329	0.9473684210526316
otu_22	otu_507	0.9473684210526316
otu_190	otu_653	0.9473684210526316
otu_190	otu_575	0.9473684210526316
otu_204	otu_711	0.9473684210526316
otu_329	otu_754	0.9473684210526316
otu_382	otu_793	0.9473684210526316
otu_356	otu_673	0.9473684210526316
otu_382	otu_673	0.9473684210526316
otu_382	otu_507	0.9473684210526316
otu_22	otu_673	0.9473684210526316
otu_317	otu_507	0.9473684210526316
otu_317	otu_329	0.9473684210526316
otu_68	otu_711	0.9473684210526316
otu_190	otu_711	0.9473684210526316
otu_22	otu_68	0.9473684210526316
otu_68	otu_382	0.9473684210526316
otu_68	otu_356	0.9473684210526316
otu_68	otu_754	0.9473684210526316
otu_68	otu_864	0.9473684210526316
otu_653	otu_673	0.9473684210526316
otu_653	otu_793	0.9473684210526316
otu_204	otu_575	0.9473684210526316
otu_204	otu_653	0.9473684210526316
otu_329	otu_864	0.9473684210526316
otu_329	otu_653	0.9473684210526316
otu_138	otu_673	0.9473684210526316
otu_138	otu_358	0.9473684210526316
otu_138	otu_507	0.9473684210526316
otu_138	otu_329	0.9473684210526316
otu_358	otu_711	0.9473684210526316
otu_138	otu_793	0.9473684210526316
otu_358	otu_754	0.9473684210526316
otu_108	otu_145	0.9473684210526316
otu_108	otu_793	0.9473684210526316
otu_204	otu_382	0.9473684210526316
otu_204	otu_317	0.9473684210526316
otu_711	otu_793	0.9473684210526316
otu_204	otu_356	0.9473684210526316
otu_190	otu_754	0.9473684210526316
otu_68	otu_256	0.9473684210526316
otu_317	otu_793	0.9473684210526316
otu_329	otu_711	0.9473684210526316
otu_329	otu_356	0.9473684210526316
otu_329	otu_382	0.9473684210526316
otu_317	otu_673	0.9473684210526316
otu_68	otu_138	0.9473684210526316
otu_68	otu_108	0.9473684210526316
otu_673	otu_711	0.9473684210526316
otu_108	otu_673	0.9473684210526316
otu_108	otu_507	0.9473684210526316
otu_108	otu_204	0.9473684210526316
otu_358	otu_653	0.9473684210526316
otu_356	otu_793	0.9473684210526316
otu_108	otu_190	0.9473684210526316
otu_754	otu_793	0.9473684210526316
otu_108	otu_358	0.9473684210526316
otu_358	otu_382	0.9473684210526316
otu_256	otu_329	0.9473684210526316
otu_145	otu_317	0.9473684210526316
