source	target	Pearson	P_value	FDR
otu_383	otu_661	0.9999999417067869	0	0
otu_608	otu_91	0.9999471815274539	0	0
otu_119	otu_322	0.9997878113182798	0	0
otu_397	otu_53	0.9997278558576523	0	0
otu_383	otu_53	0.9995993739484398	0	0
otu_53	otu_661	0.9995904152839813	0	0
otu_532	otu_69	0.999562259595363	0	0
otu_234	otu_386	0.9995202838287884	0	0
otu_172	otu_181	0.9995138801460608	0	0
otu_55	otu_603	0.9994723803405772	0	0
otu_322	otu_818	0.9994617012289193	0	0
otu_292	otu_383	0.999428215644245	0	0
otu_292	otu_661	0.999425269206043	0	0
otu_53	otu_818	0.9994150104728686	0	0
otu_19	otu_55	0.9993631421345099	0	0
otu_777	otu_783	0.9993273338574657	0	0
otu_383	otu_397	0.9992661775893035	0	0
otu_397	otu_661	0.9992575661615495	0	0
otu_19	otu_603	0.9992258667664056	0	0
otu_292	otu_53	0.9992060181143726	0	0
otu_608	otu_818	0.9992024067719434	0	0
otu_234	otu_409	0.9991758999788921	0	0
otu_148	otu_409	0.999146440751743	0	0
otu_230	otu_536	0.9991015278749927	0	0
otu_148	otu_234	0.999017204892092	0	0
otu_397	otu_818	0.9988643460697182	0	0
otu_292	otu_397	0.9988304072602912	0	0
otu_818	otu_91	0.9987760671561215	0	0
otu_265	otu_386	0.9987482952973188	0	0
otu_53	otu_608	0.998727672616864	0	0
otu_519	otu_523	0.9987105861226203	0	0
otu_119	otu_818	0.9985738219170115	0	0
otu_322	otu_53	0.9985357725858108	0	0
otu_603	otu_668	0.9985150310301506	0	0
otu_193	otu_397	0.9985135596917046	0	0
otu_386	otu_409	0.9984412039310542	0	0
otu_181	otu_397	0.998329534133496	0	0
otu_319	otu_816	0.9983235933348916	0	0
otu_397	otu_608	0.998308150129064	0	0
otu_53	otu_91	0.9982834279427973	0	0
otu_258	otu_814	0.9982631523961064	0	0
otu_172	otu_193	0.9982580846930719	0	0
otu_444	otu_67	0.9982572652310581	0	0
otu_383	otu_818	0.9981664794816248	0	0
otu_661	otu_818	0.9981465403871144	0	0
otu_322	otu_608	0.9980569247117619	0	0
otu_292	otu_818	0.9980447084498322	0	0
otu_668	otu_97	0.9980115929767429	0	0
otu_353	otu_645	0.9980106906389364	0	0
otu_292	otu_608	0.9980001027124621	0	0
otu_275	otu_588	0.9979398482719309	0	0
otu_19	otu_668	0.9979144012772376	0	0
otu_119	otu_814	0.9979035966122612	0	0
otu_148	otu_217	0.9978930692773378	0	0
otu_181	otu_193	0.9978679452339325	0	0
otu_397	otu_91	0.9978557105618515	0	0
otu_164	otu_777	0.9978353852912618	0	0
otu_603	otu_645	0.9978348871818359	0	0
otu_292	otu_91	0.9976872888048623	0	0
otu_172	otu_397	0.9976743538316956	0	0
otu_322	otu_397	0.9976691638227664	0	0
otu_181	otu_818	0.997655252569667	0	0
otu_510	otu_829	0.997652218910486	0	0
otu_383	otu_608	0.9976164805892828	0	0
otu_322	otu_91	0.9976123263034338	0	0
otu_55	otu_645	0.9976073618299529	0	0
otu_55	otu_668	0.9976009179893586	0	0
otu_148	otu_386	0.9975987302456032	0	0
otu_608	otu_661	0.9975961937918914	0	0
otu_198	otu_723	0.9975912998581804	0	0
otu_217	otu_409	0.9974713712994585	0	0
otu_181	otu_53	0.9974489636774028	0	0
otu_691	otu_782	0.997437698853604	0	0
otu_119	otu_53	0.9974343298204601	0	0
otu_234	otu_265	0.9973877207120249	0	0
otu_19	otu_645	0.9973614925354587	0	0
otu_12	otu_863	0.9973297746325885	0	0
otu_168	otu_532	0.9971903141222036	0	0
otu_383	otu_91	0.9971675192063755	0	0
otu_69	otu_814	0.9971625039029276	0	0
otu_661	otu_91	0.9971470461092644	0	0
otu_193	otu_53	0.9971311927885269	0	0
otu_181	otu_322	0.997062381117276	0	0
otu_322	otu_383	0.9969822284808001	0	0
otu_19	otu_592	0.9969665623714258	0	0
otu_164	otu_783	0.9969648098451469	0	0
otu_322	otu_661	0.9969616895708594	0	0
otu_119	otu_258	0.9969573112941316	0	0
otu_193	otu_383	0.9968734434696086	0	0
otu_193	otu_661	0.9968722380206289	0	0
otu_168	otu_38	0.9968211808598271	0	0
otu_305	otu_717	0.9967934047506729	0	0
otu_292	otu_322	0.9967897851808993	0	0
otu_119	otu_608	0.9967885728609176	0	0
otu_168	otu_69	0.9967820111421563	0	0
otu_603	otu_97	0.996750469420254	0	0
otu_181	otu_608	0.9967197527388888	0	0
otu_217	otu_234	0.9966281758954455	0	0
otu_217	otu_67	0.9965093564692389	0	0
otu_532	otu_814	0.9964988510464438	0	0
otu_38	otu_532	0.9964258952490832	0	0
otu_19	otu_97	0.9964210977204526	0	0
otu_227	otu_343	0.9963945592849808	0	0
otu_119	otu_397	0.9963698189701784	0	0
otu_500	otu_666	0.9963628833082737	0	0
otu_322	otu_814	0.9963587066326628	0	0
otu_148	otu_67	0.9963424913658172	0	0
otu_119	otu_91	0.9963327545161652	0	0
otu_409	otu_67	0.9963091803815943	0	0
otu_157	otu_885	0.99626221948837	0	0
otu_181	otu_91	0.9962457230681138	0	0
otu_172	otu_53	0.9961935769113248	0	0
otu_432	otu_885	0.9961641240600079	0	0
otu_119	otu_181	0.9961415561279823	0	0
otu_193	otu_292	0.9961240173282856	0	0
otu_317	otu_382	0.9960583433633481	0	0
otu_172	otu_818	0.9960535480917718	0	0
otu_258	otu_38	0.9960532167475453	0	0
otu_119	otu_38	0.9960381538908031	0	0
otu_14	otu_881	0.9960323625842924	0	0
otu_265	otu_67	0.9960106336162662	0	0
otu_265	otu_409	0.9958897797400897	0	0
otu_353	otu_603	0.9958529866303734	0	0
otu_38	otu_69	0.995723688438834	0	0
otu_645	otu_668	0.9957161614792613	0	0
otu_119	otu_383	0.995690125207774	0	0
otu_119	otu_661	0.9956692209787722	0	0
otu_258	otu_322	0.9956648847233277	0	0
otu_38	otu_814	0.9956316999796833	0	0
otu_181	otu_383	0.9955825001713235	0	0
otu_181	otu_661	0.995560991476623	0	0
otu_172	otu_608	0.9954741938904202	0	0
otu_119	otu_292	0.9954534132475276	0	0
otu_40	otu_560	0.9953585478225907	0	0
otu_148	otu_265	0.99533971149986	0	0
otu_592	otu_668	0.9953346604253854	0	0
otu_217	otu_386	0.9953130689129482	0	0
otu_322	otu_38	0.9952915488155681	0	0
otu_181	otu_292	0.9952768991935846	0	0
otu_55	otu_97	0.9952204945333369	0	0
otu_234	otu_67	0.9951771860518187	0	0
otu_193	otu_818	0.9951645102808934	0	0
otu_119	otu_168	0.9951528557479206	0	0
otu_386	otu_67	0.9951213991971356	0	0
otu_386	otu_843	0.9951171718848325	0	0
otu_519	otu_691	0.9950580850718449	0	0
otu_622	otu_67	0.9950433835893491	0	0
otu_172	otu_91	0.9950095682441406	0	0
otu_265	otu_843	0.9949541429623281	0	0
otu_353	otu_55	0.9949458127496735	0	0
otu_258	otu_69	0.9948437836441769	0	0
otu_192	otu_532	0.9948371235132536	0	0
otu_353	otu_668	0.9948266413130811	0	0
otu_172	otu_322	0.9948187550448417	0	0
otu_119	otu_69	0.9947959417293509	0	0
otu_280	otu_830	0.9947099605395744	0	0
otu_168	otu_322	0.9946833133730529	0	0
otu_645	otu_97	0.9946141357601249	0	0
otu_302	otu_432	0.9946133937489651	0	0
otu_38	otu_53	0.9945567841306606	0	0
otu_19	otu_353	0.9945330679216464	0	0
otu_193	otu_608	0.9945321672232792	0	0
otu_192	otu_69	0.99451908589279725	0	0
otu_618	otu_717	0.9945111776011868	0	0
otu_622	otu_900	0.9945072822245397	0	0
otu_438	otu_843	0.9944863663987847	0	0
otu_438	otu_900	0.9943801931945562	0	0
otu_172	otu_383	0.9943571427107619	0	0
otu_444	otu_783	0.9943369683824054	0	0
otu_172	otu_661	0.9943359535611865	0	0
otu_119	otu_532	0.9943270318066744	0	0
otu_38	otu_661	0.994319436810397	0	0
otu_38	otu_383	0.9943141564488855	0	0
otu_55	otu_592	0.9942689588899386	0	0
otu_383	otu_560	0.9942273042939008	0	0
otu_560	otu_661	0.9942240807269311	0	0
otu_560	otu_91	0.9941932272877995	0	0
otu_67	otu_783	0.9941610982981153	0	0
otu_560	otu_608	0.9941339434218028	0	0
otu_53	otu_560	0.9941111397539053	0	0
otu_258	otu_532	0.9941037758350698	0	0
otu_172	otu_292	0.9940852063495309	0	0
otu_181	otu_258	0.9940798934211367	0	0
otu_168	otu_661	0.9940525353897692	0	0
otu_168	otu_383	0.99404916865306	0	0
otu_193	otu_91	0.9940388280121942	0	0
otu_168	otu_192	0.9940140245824637	0	0
otu_40	otu_91	0.9940080485411377	0	0
otu_38	otu_397	0.9940014680668755	0	0
otu_168	otu_53	0.9939990291609443	0	0
otu_577	otu_9	0.9939714776023615	0	0
otu_292	otu_560	0.993937559841281	0	0
otu_592	otu_97	0.9939127320755906	0	0
otu_592	otu_603	0.9938889984274063	0	0
otu_168	otu_814	0.9938783862160872	0	0
otu_193	otu_322	0.9938378156516963	0	0
otu_292	otu_40	0.9937705546252312	0	0
otu_265	otu_622	0.9937598865069265	0	0
otu_40	otu_608	0.993730123302277	0	0
otu_119	otu_172	0.9934961071387001	0	0
otu_217	otu_265	0.9934881026493707	0	0
otu_193	otu_38	0.9933558105893903	0	0
otu_560	otu_818	0.9932827332651704	0	0
otu_560	otu_618	0.9932808190271453	0	0
