source	target	Spearman	P_value	FDR
otu_119	otu_322	1	0	0
otu_119	otu_814	1	0	0
otu_119	otu_818	1	0	0
otu_125	otu_270	1	0	0
otu_157	otu_742	1	0	0
otu_157	otu_850	1	0	0
otu_234	otu_386	1	0	0
otu_322	otu_814	1	0	0
otu_322	otu_818	1	0	0
otu_383	otu_661	1	0	0
otu_432	otu_885	1	0	0
otu_497	otu_72	1	0	0
otu_519	otu_691	1	0	0
otu_608	otu_91	1	0	0
otu_742	otu_850	1	0	0
otu_748	otu_782	1	0	0
otu_814	otu_818	1	0	0
otu_670	otu_90	0.9980842911877394	0	0
otu_500	otu_622	0.9979296066252588	0	0
otu_38	otu_53	0.9969230769230769	0	0
otu_193	otu_397	0.9961089494163424	0	0
otu_409	otu_577	0.9961089494163424	0	0
otu_432	otu_497	0.9961089494163424	0	0
otu_432	otu_72	0.9961089494163424	0	0
otu_497	otu_885	0.9961089494163424	0	0
otu_72	otu_885	0.9961089494163424	0	0
otu_1	otu_161	0.9958592132505176	0	0
otu_131	otu_608	0.9944598337950139	0	0
otu_131	otu_91	0.9944598337950139	0	0
otu_157	otu_701	0.9944598337950139	0	0
otu_234	otu_813	0.9944598337950139	0	0
otu_386	otu_813	0.9944598337950139	0	0
otu_510	otu_519	0.9944598337950139	0	0
otu_510	otu_691	0.9944598337950139	0	0
otu_701	otu_742	0.9944598337950139	0	0
otu_701	otu_850	0.9944598337950139	0	0
otu_718	otu_883	0.9924242424242424	0	0
otu_444	otu_67	0.9922077922077922	0	0
otu_406	otu_68	0.9913377326681663	0	0
otu_512	otu_773	0.9909502262443439	0	0
otu_32	otu_830	0.9908571428571429	0	0
otu_175	otu_201	0.9907692307692307	0	0
otu_12	otu_863	0.9905808477237049	0	0
otu_512	otu_676	0.9894589534261078	0	0
otu_230	otu_536	0.98888395642033	2.220446049250313e-16	3.421224656231852e-13
otu_482	otu_759	0.9887640449438202	2.220446049250313e-16	3.421224656231852e-13
otu_676	otu_773	0.9879529276218062	4.440892098500626e-16	6.423523844353681e-13
otu_125	otu_201	0.9876923076923076	4.440892098500626e-16	6.423523844353681e-13
otu_201	otu_270	0.9876923076923076	4.440892098500626e-16	6.423523844353681e-13
otu_329	otu_406	0.9868179557715029	1.1102230246251565e-15	1.573763341866652e-12
otu_744	otu_90	0.9865900383141762	1.3322676295501878e-15	1.851486284549002e-12
otu_121	otu_719	0.9861003861003861	1.7763568394002505e-15	2.4211743721025414e-12
otu_280	otu_48	0.9855072463768116	2.6645352591003757e-15	3.563237755169778e-12
otu_125	otu_175	0.9846153846153847	4.440892098500626e-15	5.620583363809471e-12
otu_175	otu_270	0.9846153846153847	4.440892098500626e-15	5.620583363809471e-12
otu_160	otu_881	0.984549356223176	4.440892098500626e-15	5.620583363809471e-12
otu_417	otu_588	0.9844155844155844	4.884981308350689e-15	6.074174301941463e-12
otu_116	otu_508	0.9837837837837838	7.105427357601002e-15	8.682832230988424e-12
otu_536	otu_573	0.983011583011583	1.0658141036401503e-14	1.2803498374508355e-11
otu_288	otu_402	0.9825162833108161	1.3766765505351941e-14	1.6262221199288735e-11
otu_329	otu_68	0.981941309255079	1.8207657603852567e-14	2.115550721853532e-11
otu_430	otu_881	0.9811158798283262	2.708944180085382e-14	3.0476052017100243e-11
otu_617	otu_801	0.9811060749053534	2.708944180085382e-14	3.0476052017100243e-11
